Topic name,week1,week2,week3,week4,week5,week6,week7,week8,week9
Health Plan Switch,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Private Sector,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Retirement Planning,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Health Plan,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Telework Policy Change,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Tension about Hiring Freeze,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
401k Concerns,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mayorkas Farewell,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RIF Notice,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Mental Health Issues,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Tension Among Probationaries,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
DEI Concerns,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
OPM Confusion,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Defending Constitution,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Deferred Resignation Program,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
Funding Freeze,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Federal Union,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
President Trump,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Elon Musk & DOGE,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
Civil Service,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Treasury Department,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Fork in the Road,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
USAID Funding Cut,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Mass Loyoff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Class Action Lawsuit,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Call For Push Back,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Town Hall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
